NOTICE_TYPE_CONFIG_ID,CIRC_POLICY_ID,NOTICE_TYPE 
1179,"RQ-PS-FACULTY-STDLOAN-RC-PG","NO-RC-PS-STANDARDLOAN"
1180,"RQ-DIV-FACULTY-STDLOAN-RC-PG","NO-RC-PS-STANDARDLOAN"
1181,"RQ-FORD-FACULTY-STDLOAN-RC-PG","NO-RC-FORD-STANDARDLOAN"
1182,"RQ-LAW-FACULTY-STDLOAN-RC-PG","NO-RC-LAW-STANDARDLOAN"
1183,"RQ-MCL-FACULTY-STDLOAN-RC-PG","NO-RC-MCL-STANDARDLOAN"
1184,"RQ-PS-GRAD-STDLOAN-RC-PG","NO-RC-PS-STANDARDLOAN"
1185,"RQ-DIV-GRAD-STDLOAN-RC-PG","NO-RC-PS-STANDARDLOAN"
1186,"RQ-FORD-GRAD-STDLOAN-RC-PG","NO-RC-FORD-STANDARDLOAN"
1187,"RQ-LAW-GRAD-STDLOAN-RC-PG","NO-RC-LAW-STANDARDLOAN"
1188,"RQ-MCL-GRAD-STDLOAN-RC-PG","NO-RC-MCL-STANDARDLOAN"
1189,"RQ-PS-ALUMNI-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1190,"RQ-DIV-ALUMNI-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1191,"RQ-FORD-ALUMNI-STDLOAN-RC","NO-RC-FORD-STANDARDLOAN"
1192,"RQ-LAW-ALUMNI-STDLOAN-RC","NO-RC-LAW-STANDARDLOAN"
1193,"RQ-PS-TRLN-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1194,"RQ-DIV-TRLN-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1195,"RQ-MCL-TRLN-STDLOAN-RC","NO-RC-MCL-STANDARDLOAN"
1196,"RQ-PS-FRIENDS-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1197,"RQ-DIV-EXTERNAL-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1198,"RQ-MCL-EXTERNAL-STDLOAN-RC","NO-RC-MCL-STANDARDLOAN"
1199,"RQ-PS-STAFF-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1200,"RQ-DIV-STAFF-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1201,"RQ-PS-UG-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1202,"RQ-DIV-UG-STDLOAN-RC","NO-RC-PS-STANDARDLOAN"
1203,"RQ-FORD-UG-STDLOAN-RC","NO-RC-FORD-STANDARDLOAN"
1204,"RQ-LAW-UG-STDLOAN-RC","NO-RC-LAW-STANDARDLOAN"
1205,"RQ-PS-FQST-FQPHD-STDLOAN-RC-PG","NO-RC-PS-STANDARDLOAN"
1206,"RQ-DIV-FQST-FQPHD-STDLOAN-RC-PG","NO-RC-PS-STANDARDLOAN"
1207,"RQ-FORD-FQST-FQPHD-STDLOAN-RC-PG","NO-RC-FORD-STANDARDLOAN"
1208,"RQ-LAW-FQST-FQPHD-STDLOAN-RC-PG","NO-RC-LAW-STANDARDLOAN"
1209,"RQ-LSC-FACULTY-NONCIRC-RC-PG","NO-RC-PS-STANDARDLOAN"
1210,"RQ-PS-FACULTY-4WKCL-HO-PG","NO-RC-PS-STANDARDLOAN"
1211,"RQ-PS-GRAD-4WKCL-RC-PG","NO-RC-PS-STANDARDLOAN"
1212,"RQ-PS-EVRY1ELSE-4WKCL-RC-PG","NO-RC-PS-STANDARDLOAN"
1213,"RQ-PERKINS-FACULTY-PERS-HO-PG","NO-RC-PS-STANDARDLOAN"
1214,"RQ-LILLY-EVERYONE-PERS-HO-PG","NO-RC-PS-STANDARDLOAN"
1215,"RQ-MARINE-EVERYONE-PERS-HO","NO-RC-PS-STANDARDLOAN"
1216,"RQ-DIV-EVERYONE-PERS-HO-PG","NO-RC-PS-STANDARDLOAN"
1217,"CO-3HR-LILLY-MUSIC-HEADPHONES","NO-LILLY-AV-DEVILDVD-HEADPHMIC"
