OLE_CRCL_DSK_LOCN_ID,OLE_CRCL_DSK_ID,OLE_CRCL_DSK_LOCN,OLE_CRCL_PICKUP_DSK_LOCN
1098,9,175,NULL
1099,9,176,NULL
1764,1,101,DUKE/DIVINITY/PD
1765,2,101,DUKE/DIVINITY/PD
1766,3,101,DUKE/DIVINITY/PD
1767,4,101,DUKE/DIVINITY/PD
1768,5,101,DUKE/DIVINITY/PD
1769,6,101,DUKE/DIVINITY/PD
1770,8,101,DUKE/DIVINITY/PD
1771,9,101,DUKE/DIVINITY/PD
1772,10,101,DUKE/DIVINITY/PD
1773,12,101,DUKE/DIVINITY/PD
1774,1,148,DUKE/FORD/FRD
1775,2,148,DUKE/FORD/FRD
1776,3,148,DUKE/FORD/FRD
1777,4,148,DUKE/FORD/FRD
1778,5,148,DUKE/FORD/FRD
1779,6,148,DUKE/FORD/FRD
1780,8,148,DUKE/FORD/FRD
1781,9,148,DUKE/FORD/FRD
1782,10,148,DUKE/FORD/FRD
1783,12,148,DUKE/FORD/FRD
1784,1,153,DUKE/FORD/FRDCC
1785,2,153,DUKE/FORD/FRDCC
1786,3,153,DUKE/FORD/FRDCC
1787,4,153,DUKE/FORD/FRDCC
1788,5,153,DUKE/FORD/FRDCC
1789,6,153,DUKE/FORD/FRDCC
1790,8,153,DUKE/FORD/FRDCC
1791,9,153,DUKE/FORD/FRDCC
1792,10,153,DUKE/FORD/FRDCC
1793,12,153,DUKE/FORD/FRDCC
1794,2,589,DUKE/PERKINS/PK
1795,3,589,DUKE/PERKINS/PK
1796,4,589,DUKE/PERKINS/PK
1797,5,589,DUKE/PERKINS/PK
1798,6,589,DUKE/PERKINS/PK
1799,8,589,DUKE/PERKINS/PK
1800,9,589,DUKE/PERKINS/PK
1801,10,589,DUKE/PERKINS/PK
1802,12,589,DUKE/PERKINS/PK
1803,15,589,DUKE/PERKINS/PK
1804,14,589,DUKE/PERKINS/PK
1805,16,589,DUKE/PERKINS/PK
1806,17,589,DUKE/PERKINS/PK
1807,18,589,DUKE/PERKINS/PK
1808,19,589,DUKE/PERKINS/PK
1809,20,589,DUKE/PERKINS/PK
1810,21,589,DUKE/PERKINS/PK
1811,22,589,DUKE/PERKINS/PK
1812,23,589,DUKE/PERKINS/PK
1813,24,589,DUKE/PERKINS/PK
1814,2,590,DUKE/PERKINS/PK2
1815,3,590,DUKE/PERKINS/PK2
1816,4,590,DUKE/PERKINS/PK2
1817,5,590,DUKE/PERKINS/PK2
1818,6,590,DUKE/PERKINS/PK2
1819,8,590,DUKE/PERKINS/PK2
1820,9,590,DUKE/PERKINS/PK2
1821,10,590,DUKE/PERKINS/PK2
1822,12,590,DUKE/PERKINS/PK2
1823,15,590,DUKE/PERKINS/PK2
1824,14,590,DUKE/PERKINS/PK2
1825,16,590,DUKE/PERKINS/PK2
1826,17,590,DUKE/PERKINS/PK2
1827,18,590,DUKE/PERKINS/PK2
1828,19,590,DUKE/PERKINS/PK2
1829,20,590,DUKE/PERKINS/PK2
1830,21,590,DUKE/PERKINS/PK2
1831,22,590,DUKE/PERKINS/PK2
1832,23,590,DUKE/PERKINS/PK2
1833,24,590,DUKE/PERKINS/PK2
1834,2,596,DUKE/PERKINS/PK7
1835,3,596,DUKE/PERKINS/PK7
1836,4,596,DUKE/PERKINS/PK7
1837,5,596,DUKE/PERKINS/PK7
1838,6,596,DUKE/PERKINS/PK7
1839,8,596,DUKE/PERKINS/PK7
1840,9,596,DUKE/PERKINS/PK7
1841,10,596,DUKE/PERKINS/PK7
1842,12,596,DUKE/PERKINS/PK7
1843,15,596,DUKE/PERKINS/PK7
1844,14,596,DUKE/PERKINS/PK7
1845,16,596,DUKE/PERKINS/PK7
1846,17,596,DUKE/PERKINS/PK7
1847,18,596,DUKE/PERKINS/PK7
1848,19,596,DUKE/PERKINS/PK7
1849,20,596,DUKE/PERKINS/PK7
1850,21,596,DUKE/PERKINS/PK7
1851,22,596,DUKE/PERKINS/PK7
1852,23,596,DUKE/PERKINS/PK7
1853,24,596,DUKE/PERKINS/PK7
1854,2,597,DUKE/PERKINS/PK7F
1855,3,597,DUKE/PERKINS/PK7F
1856,4,597,DUKE/PERKINS/PK7F
1857,5,597,DUKE/PERKINS/PK7F
1858,6,597,DUKE/PERKINS/PK7F
1859,8,597,DUKE/PERKINS/PK7F
1860,9,597,DUKE/PERKINS/PK7F
1861,10,597,DUKE/PERKINS/PK7F
1862,12,597,DUKE/PERKINS/PK7F
1863,15,597,DUKE/PERKINS/PK7F
1864,14,597,DUKE/PERKINS/PK7F
1865,16,597,DUKE/PERKINS/PK7F
1866,17,597,DUKE/PERKINS/PK7F
1867,18,597,DUKE/PERKINS/PK7F
1868,19,597,DUKE/PERKINS/PK7F
1869,20,597,DUKE/PERKINS/PK7F
1870,21,597,DUKE/PERKINS/PK7F
1871,22,597,DUKE/PERKINS/PK7F
1872,23,597,DUKE/PERKINS/PK7F
1873,24,597,DUKE/PERKINS/PK7F
1874,2,598,DUKE/PERKINS/PK7Q
1875,3,598,DUKE/PERKINS/PK7Q
1876,4,598,DUKE/PERKINS/PK7Q
1877,5,598,DUKE/PERKINS/PK7Q
1878,6,598,DUKE/PERKINS/PK7Q
1879,8,598,DUKE/PERKINS/PK7Q
1880,9,598,DUKE/PERKINS/PK7Q
1881,10,598,DUKE/PERKINS/PK7Q
1882,12,598,DUKE/PERKINS/PK7Q
1883,15,598,DUKE/PERKINS/PK7Q
1884,14,598,DUKE/PERKINS/PK7Q
1885,16,598,DUKE/PERKINS/PK7Q
1886,17,598,DUKE/PERKINS/PK7Q
1887,18,598,DUKE/PERKINS/PK7Q
1888,19,598,DUKE/PERKINS/PK7Q
1889,20,598,DUKE/PERKINS/PK7Q
1890,21,598,DUKE/PERKINS/PK7Q
1891,22,598,DUKE/PERKINS/PK7Q
1892,23,598,DUKE/PERKINS/PK7Q
1893,24,598,DUKE/PERKINS/PK7Q
1894,2,605,DUKE/PERKINS/PKE
1895,3,605,DUKE/PERKINS/PKE
1896,4,605,DUKE/PERKINS/PKE
1897,5,605,DUKE/PERKINS/PKE
1898,6,605,DUKE/PERKINS/PKE
1899,8,605,DUKE/PERKINS/PKE
1900,9,605,DUKE/PERKINS/PKE
1901,10,605,DUKE/PERKINS/PKE
1902,12,605,DUKE/PERKINS/PKE
1903,15,605,DUKE/PERKINS/PKE
