LOCN_ID,OBJ_ID,VER_NBR,LOCN_CD,LOCN_NAME,LEVEL_ID,PARENT_LOCN_ID
"346","A255815B-C98A-49F8-813D-154CADF142D4",1,"PSGM","Perkins Documents Microforms: Lib Service Ctr","5","18"
"347","FDE54238-909A-4F8A-8B66-2F7626814F03",1,"PSGN","Perkins Documents UN : Lib Service Ctr","5","18"
"348","E36F4987-ACEB-4F32-B604-ABC8BB0883DA",1,"PSGNF","Perkins Documents UN : Lib Service Ctr","5","18"
"349","1BC26FBB-FBE1-40FD-995A-A0FD6C31E799",1,"PSGNQ","Perkins Documents UN : Lib Service Ctr","5","18"
"350","C56725DE-E8C3-4594-8DA2-A506651AFF3F",1,"PSGS","Perkins Documents US: Lib Service Ctr","5","18"
"351","13E68297-A059-4A6F-8424-3F592B2B610C",1,"PSGSF","Perkins Documents US: Lib Service Ctr","5","18"
"352","1CF228AE-28F4-45E7-903B-87A84D0567EC",1,"PSGSQ","Perkins Documents US: Lib Service Ctr","5","18"
"353","45404DF9-B8A0-41B6-9CBF-EC9DE1C50BFA",1,"PSGZ","Perkins Documents RAND: Lib Service Ctr","5","18"
"354","FB528788-95F6-44E0-9A97-5662E6BA1B57",1,"PSK","","5","18"
"355","9B432113-0028-4F8B-A9D9-72AB9CA44FBD",1,"PSK2","","5","18"
"356","E6DA73EF-9BD5-4C11-A6D9-0A1C97E09AB1",1,"PSK6","","5","18"
"357","27917915-30E7-4BC3-90A6-025C5E54B7AF",1,"PSKC","","5","18"
"358","181086AB-A28A-47A3-990A-DF92EA2DB0AC",1,"PSKE","","5","18"
"359","9D0B43F6-B12B-4E86-A566-3164E52471E6",1,"PSKEF","Oversize","5","18"
"360","72A889FE-15D8-4BB3-8962-669BE6C556BB",1,"PSKEP","Periodicals","5","18"
"361","CEAA0F10-6E93-4A55-AD5A-248A2513E41F",1,"PSKEQ","","5","18"
"362","CC96E77E-206B-4F3C-940D-EE64815EDB86",1,"PSKF","","5","18"
"363","A66948C8-47DB-4928-8F02-12403C8F1E19",1,"PSKJ","","5","18"
"364","8132D831-8347-4DDC-9F3D-A6A7951F60A0",1,"PSKL","","5","18"
"365","D6263DDE-5CA1-45B2-B081-88BF30A2F32C",1,"PSKM2","","5","18"
"366","038084E2-E6D4-4F24-B0AF-E872F27E917B",1,"PSKN","","5","18"
"367","A82575E4-52F5-4697-98E8-2601E1294DCE",1,"PSKOH","","5","18"
"368","BF69A23D-96FF-4284-BE4D-5BAB019C3705",1,"PSKP","Periodicals","5","18"
"369","E2E0B2EB-1A1D-43C4-8A5D-FDD37EDEB57E",1,"PSKP3","Periodicals","5","18"
"370","8761439D-362C-4DBB-94B6-588517778B4C",1,"PSKQ","","5","18"
"371","3D3DC12A-F52D-410C-859B-EC3B9CDB72A2",1,"PSL","","5","18"
"372","E27697AB-CC7A-405D-9EDE-D781936A63A4",1,"PSLF","","5","18"
"373","22904050-5810-4686-9643-BE3E0E22FFC5",1,"PSLP","Periodicals","5","18"
"374","5450EC8E-0AEF-49BF-921C-E8E5E8C1F4C7",1,"PSLV","","5","18"
"375","03CDE1BA-956C-4722-9FB6-0FB5B2F80409",1,"PSLV1","","5","18"
"376","C8C5BE3A-2DA0-4D56-9F4E-C8E907673A95",1,"PSLV2","","5","18"
"377","9830BD78-9724-4C3D-941E-681DC66231DD",1,"PSLV3","","5","18"
"378","362764AC-4732-4DC4-A318-AD2E4155985F",1,"PSLV4","","5","18"
"379","05B76029-85F1-43EC-8349-4992B2212EC7",1,"PSLV5","","5","18"
"380","0ED042D6-5A51-4297-B960-C5060E3B804D",1,"PSLV6","","5","18"
"381","20968DE7-4698-4DB6-8554-672B271A19F7",1,"PSLV7","","5","18"
"382","18D4B78E-DC0C-4F8C-8D09-3F998C63583C",1,"PSLVL","","5","18"
"383","5A4A425A-6406-4396-9F1C-B5B23142B825",1,"PSM","","5","18"
"384","C3C7513A-EE59-402A-AD0D-217DB0D2E2D5",1,"PSMM","","5","18"
"385","9BED6B05-B9E3-4FC0-9A28-491A65F59516",1,"PSMP","Periodicals","5","18"
"386","4CB9E70F-044C-4C5F-A754-1FF6AF912B51",1,"PSMQ","","5","18"
"387","F16FE28B-6F6E-454C-8E21-04431D99CAE6",1,"PSV","","5","18"
"388","9BBE7777-3C8B-414E-A16C-A66553D94E92",1,"PSV2","","5","18"
"389","0E15AEFA-AC94-4DC9-A58B-603CF811F91D",1,"PSV2F","","5","18"
"390","E843C68C-67D9-40FE-AC7C-12BB82E682CE",1,"PSV2P","Periodicals","5","18"
"391","0E92E0F0-69E4-4ED9-9409-4205B9A553B8",1,"PSV2Q","","5","18"
"392","6B73D9CC-1E20-41C9-B890-C802D10968C8",1,"PSV2T","","5","18"
"393","D25EA7D5-F0EF-43CC-9913-B59D60A06DBB",1,"PSV3P","Periodicals","5","18"
"394","1B1D0850-A154-4BBF-A934-9F3E3795BF6E",1,"PSVC","","5","18"
"395","D62E6860-1A22-4A14-BDA6-584EE4CF06D4",1,"PSVF","","5","18"
"396","02C2EBE0-C0E5-43EC-9C77-6A9B180C46DB",1,"PSVP","Periodicals","5","18"
"397","3C088B9E-ED09-4172-80BC-A9EABA525D5B",1,"PSVQ","","5","18"
"398","BD05513F-CB3E-4E47-B217-4134C9699109",1,"PSVT","","5","18"
"399","CA8C6F2D-FBF3-4BF4-959E-7B0799964210",1,"PSZ","","5","18"
"400","5FC5EA4C-5418-4BAA-978D-635DFD3E7694",1,"PSZP","Periodicals","5","18"
"401","D526C8AF-D8A9-4B10-86CA-D3FA420919B1",1,"UNC","","5","18"
"402","235E6181-EE82-43BF-A64F-D95C81EBBE5A",1,"UNCP","Periodicals","5","18"
"403","B4FB5F7F-21E7-4607-BC2F-97FEC7922146",1,"PZ","Stacks","5","19"
"404","DEDBBAB1-5F3E-4EE3-AA70-0F126FFDD993",1,"PZH","Pamphlets","5","19"
"405","D5B4CA51-A47D-4DAB-85BE-0F398C00045E",1,"PZK1","Ebook Reader","5","19"
"406","167A0BCE-88E0-4366-AEF6-173ACDA79590",1,"PZK2","Ebook Reader","5","19"
"407","3D9AB785-C82D-4969-8EC9-17B0A47415B3",1,"PZK3","iPad","5","19"
"408","0EACA37B-7B4D-4386-BBA8-65FB6EEF383E",1,"PZM","Microforms","5","19"
"409","9EA890A0-61F0-4799-B561-55E02AEDA1D9",1,"PZP","Periodicals","5","19"
"410","7CCA2E6F-3FB1-476B-B6F1-7EE9A77571F0",1,"PZPI","Current Periodicals","5","19"
"411","79292B02-07F6-40B4-AEF2-4348491ECF97",1,"PZR","Reference","5","19"
"412","C9D04EDC-E6CF-4A19-9A79-9311EA98C2E7",1,"PZRC","Reference CD-ROM","5","19"
"413","E24698B2-B5E2-4562-9586-BE6AC3EB12D6",1,"PZX","Reserve","5","19"
"414","E55D4C60-FB3A-4B44-B2F2-C4D777A2BA50",1,"M104","MLEC/Rm 104","5","20"
"415","F0ED452D-5B04-4C52-85AF-A4444B79B8EF",1,"MADMN","Admin Dept Offices","5","20"
"416","DAEC6DE2-33BB-469C-AD52-0893178B8280",1,"MARCH","Archives","5","20"
